# version=1
# source_sha256=d517169e57f1d6254682c03dec5c254b5101ccd787d191f639b0cac1e8a616c4
# destination_sha256=f5e133e8eca8eb1a02e21a7d1afbb44d082e384a38d39db58a694371fa583bbe
# rows=1278
source_address	destination_address	function_name	evidence	review_flags	similarity	confidence	association_votes	source_length	destination_length	source_callers	destination_callers	source_callees	destination_callees	correlator	audit_comment
0042c580	00401000	LoadWingCmdrCfgFile	WC1-fuzzy-followup		0.42	0.782	0	223	274	main@004274e0	GameFlow@0046591a	_fclose@004492e0|_fscanf@00449440|_fopen@00449600|FUN_0044d820@0044d820	_strchr@0046e0f0|FUN_0046e1b0@0046e1b0|_fclose@0046e2a0|_fscanf@0046e400|_fopen@0046e5c0	Manual Match	[WC1 transfer] WC1-fuzzy-followup from LoadWingCmdrCfgFile @0042c580; structural=0.4196, composite=0.7816, graph=3/0, candidates=1
0042c800	00401120	show_damage_disp	WC1-fuzzy-followup		0.504	0.804	0	355	449	update_VDUs@00417b70	update_VDUs@0043f2f5	set_new_vdu@00414910|ShowComponentHitHudMessage@00414b70|DrawTextAt@0041d5f0|DrawSpriteDefault@00441400|DrawViewportLine@00441ba0|_sprintf@00449bb0	DrawTextAt@0040f96e|DrawSpriteDefault@004266e7|DrawFilledViewportRect@0042722e|set_new_vdu@004393e1|ShowComponentHitHudMessage@0043984f|_sprintf@0046e5f0	Manual Match	[WC1 transfer] WC1-fuzzy-followup from show_damage_disp @0042c800; structural=0.5036, composite=0.8036, graph=2/0, candidates=1
0042c970	004012e1	DrawTbl0059bff0FnC970	WC1-fuzzy-very-low		0.383	0.613	0	1061	1335	update_VDUs@00417b70	update_VDUs@0043f2f5	DebugNoBodyStub@004149c0|DrawTextAt@0041d5f0|DrawSpriteDefault@00441400|LoopLocalFn1450@00441450|LoopUiFn1740@00441740|DrawViewportLine@00441ba0|_sprintf@00449bb0	DrawTextAt@0040f96e|DrawSpriteDefault@004266e7|LoopLocalFn1450@00426769|LoopUiFn1740@00426b96|DrawFilledViewportRect@0042722e|DebugNoBodyStub@00439500|_sprintf@0046e5f0	Manual Match	[WC1 transfer] WC1-fuzzy-very-low from DrawTbl0059bff0FnC970 @0042c970; structural=0.3831, composite=0.6131, graph=1/0, candidates=1
004319b0	00401978	PrintPaletteAllocationMap	WC1-fuzzy-medium		0.778	1.028	0	84	150			_printf@0044d390	_printf@0046e6e0	Manual Match	[WC1 transfer] Fuzzy structural match from WC1 004319b0; structural=0.7776, composite=1.0276, graphSupport=1, graphConflicts=0, targetCollisions=1, confidence=medium. Verify manually.
0042a0c0	00401a10	UiRoutine06	WC1-callgraph-propagated		0.25	2.2	0	25	82	ejection_sequence@004046a0|stranded_sequence@00404be0|BlitUiFnBA90@0042ba90|ShowCarrierLaunchSequence@0042bc00|death_sequence@00439660|ShowGetReadyScreen@00439840|ShowVictoryScreen@00439910|ShowGameOverScreen@00439a80	auto_pilot_sequence@00422b1c|stranded_sequence@004251f2|FUN_0044d35d@0044d35d|ejection_sequence@0044ebca|RunSpaceFlight@0046925e	clear_view_buffer@00427b00|Update_3Space@00427c50|Draw_3Space_Frame@00429dd0	FUN_00401a62@00401a62|LoadLocalFnADA0@0040230e|FID_conflict:__unlink@0046f450	Manual Match	[WC1 transfer] WC1-callgraph-propagated from UiRoutine06 @0042a0c0; support=2 (out=0, in=2), margins=1/1, degree=11/8
00452490	00401c72	__cropzeros	WC1-fuzzy-medium	WC1-review-module-mismatch	0.731	0.921	0	223	253		FUN_00401d79@00401d79			Manual Match	[WC1 transfer] Fuzzy structural match from WC1 00452490; structural=0.7311, composite=0.9211, graphSupport=0, graphConflicts=0, targetCollisions=1, confidence=medium. Verify manually.
00418bb0	00401fdd	DoLocalFn8BB0	WC1-callgraph-propagated		0.3	3.3	0	36	415	ScanTbl0059b560Fn2430@00412430|object_collision@004130d0|launch_object@00420260|fire_weapon@00420c20	onboard_explosion@0041270a|Create_ship_hit_debris@004136e2|random_radial@00413a3b|FUN_004142c8@004142c8|SoundTbl0059b560FnFCD0@0041444c|fire_flack@00415563|fire_weapon@00415e2c|make_shard@004176d2|ace_greeting@00417838|FUN_0041820b@0041820b|approach@004182b6|ScanTbl0059b560Fn2430@0041bd81|ParseTests@0041d591|unwarp@00424c05|DeBriefing@00424d4d|pop_flack@00444f53|object_collision@00445087|ShowTigerClawEscapeScene@00446823|FUN_0045f439@0045f439|ShowGameOverScreen@0045f7ec	ScaleFixedVector@004186b0|DoLocalFn8B60@00418b60	FUN_00401c1a@00401c1a|FUN_0046417a@0046417a	Manual Match	[WC1 transfer] WC1-callgraph-propagated from DoLocalFn8BB0 @00418bb0; support=3 (out=0, in=3), margins=2/1, degree=6/22
00439150	004021a7	DrawBriefingCharacter	WC1-fuzzy-very-low		0.444	0.464	0	205	177	CloseLook@00405de0|EstablishingShot@00437770|DrawBriefingLongShot@004378d0|ReturnToBriefingLongShot@00437980		DrawSpriteScaled@00441fc0	FUN_00401c1a@00401c1a|FUN_0046417a@0046417a	Manual Match	[WC1 transfer] WC1-fuzzy-very-low from DrawBriefingCharacter @00439150; structural=0.4443, composite=0.4643, graph=0/0, candidates=1
0041ada0	0040230e	LoadLocalFnADA0	WC1-callgraph-propagated		0.6	3.1	0	629	119	LoadLocalFnB020@0041b020	UiRoutine06@00401a10	DoUiFn3500@00403500|WriteDataFileAtOffset@00403520|CreateDataFile@004035c0|PromptInsertNumberedDisk@0041d760|_sprintf@00449bb0	PromptInsertNumberedDisk@00437a44|DoUiFn3500@0045a04a|WriteDataFileAtOffset@0045a06c|CreateDataFile@0045a12d	Manual Match	[WC1 transfer] WC1-callgraph-propagated from LoadLocalFnADA0 @0041ada0; support=3 (out=3, in=0), margins=0/1, degree=6/5
0041b1e0	00402385	LoadLocalFnB1E0	WC1-callgraph-propagated		1.0	3.1	0	566	180	SaveGameWithNamePrompt@0041b5c0	FUN_00401acb@00401acb	OpenDataFileOrDie@004034d0|DoUiFn3500@00403500|WriteDataFileAtOffset@00403520|PromptInsertNumberedDisk@0041d760	PromptInsertNumberedDisk@00437a44|OpenDataFileOrDie@0045a010|DoUiFn3500@0045a04a|WriteDataFileAtOffset@0045a06c	Manual Match	[WC1 transfer] WC1-callgraph-propagated from LoadLocalFnB1E0 @0041b1e0; support=3 (out=3, in=0), margins=0/1, degree=5/5
