source_file	source_line	wc1_address	wc2_address	source_name	mapping_name	evidence	review_flags	status
src/auto.c	12	00403E50	004228B0	visit_the_cinema	visit_the_cinema	WC1-fuzzy-very-low		mapped
src/auto.c	39	00403EE0	00422953	player_wingman	player_wingman	WC1-callgraph-propagated		mapped
src/auto.c	47	00403F10	00422990	set_speed	set_speed	WC1-callgraph-single-low		mapped
src/auto.c	54	00403F40	004229B9	auto_position	auto_position	WC1-callgraph-propagated		mapped
src/auto.c	93	00404050	00422B1C	auto_pilot_sequence	auto_pilot_sequence	WC1-callgraph-propagated		mapped
src/barracks.c	10	0041ADA0		CreateEmptySaveGameFile				unmapped
src/barracks.c	122	0041B020		EnsureSaveGameFile				unmapped
src/barracks.c	140	0041B070		InitializeBarracksAnimation				unmapped
src/barracks.c	164	0041B0E0		FreeBarracksMenuLabel				unmapped
src/barracks.c	175	0041B110	0044F332	SetAwakenBarracksMenuLabel	PromptAwakenPilot	WC1-callgraph-single-low		mapped
src/barracks.c	192	0041B180		FreeBarracksMenuLabels				unmapped
src/barracks.c	215	0041B1E0		SaveGame				unmapped
src/barracks.c	306	0041B420	0042E3CF	PromptForTextInput	BlitG0046999cFnB420	WC1-callgraph-propagated		mapped
src/barracks.c	348	0041B550	004346E9	WarnLoadGameFirst	WarnLoadGameFirst	WC1-callgraph-propagated		mapped
src/barracks.c	368	0041B5C0		SaveGameWithNamePrompt				unmapped
src/barracks.c	407	0041B710		LoadGame				unmapped
src/barracks.c	508	0041B980		LoadGameFromSlot				unmapped
src/barracks.c	547	0041BAD0		SetBunkMenuLabel				unmapped
src/barracks.c	562	0041BB20	00433ED7	GetBunkInfo	LoopSaveLoadFnBB20	WC1-fuzzy-very-low		mapped
src/barracks.c	589	0041BBD0	0046138D	DrawBarracksBunks	SceneRoutine02	WC1-callgraph-propagated		mapped
src/barracks.c	617	0041BC90	00467300	DrawBarracksStaticDetails	DrawLocalFnBC90	WC1-fuzzy-very-low		mapped
src/barracks.c	627	0041BCE0	0040815F	AnimateBarracks	DrawUiFnBCE0	WC1-callgraph-propagated		mapped
src/barracks.c	711	0041BF10	00434F7D	ConfirmQuitWingCommander	ConfirmQuitWingCommander	WC1-callgraph-propagated		mapped
src/barracks.c	727	0041BF60	00436722	ConfirmAwakenAfterBadData	ConfirmAwakenAfterBadData	WC1-callgraph-propagated		mapped
src/barracks.c	747	0041BFE0	0043641C	ConfirmReplaceFaultyData	ConfirmReplaceFaultyData	WC1-callgraph-propagated		mapped
src/barracks.c	771	0041C090	00418DAA	HandleBarracksBunkSelection	GetNavFnC090	WC1-callgraph-propagated		mapped
src/barracks.c	804	0041C140		UpdateBarracksScreen				unmapped
src/barracks.c	813	0041C170	00419831	BarracksScreen	BarracksScreen	WC1-callgraph-propagated		mapped
src/barracks.c	947	0041C510	004225A0	StepPaletteTransition	StepPaletteTransition	WC1-fuzzy-very-low		mapped
src/barracks.c	1027	0041C740	00446910	DosStrcat	DosStrcat	WC1-callgraph-propagated		mapped
src/brains.c	13		00440490	HandleUnsupportedManeuver	HandleUnsupportedManeuver	WC2-only		wc2-only
src/brains.c	21		00440549	ResetShipWeaponFireState	ResetShipWeaponFireState	WC2-only		wc2-only
src/brains.c	28	004060A0	00440606	SetShipAiScratchWord	HelperOf4075D0A	WC1-callgraph-single		mapped
src/brains.c	34	004060B0	0044061B	maneuver_complete	maneuver_complete	WC1-fuzzy-low		mapped
src/brains.c	41	004060D0	00440642	Mline_up_drop	Mline_up_drop	WC1-fuzzy-low		mapped
src/brains.c	57	00406130	004406BA	Mwabble	ShipAiState13	WC1-fuzzy-followup		mapped
src/brains.c	85	004061E0	004407B0	advance	advance	WC1-order-exact		mapped
src/brains.c	92	00406200	004407DA	ShipAiState35	ShipAiState35	WC1-order-exact		mapped
src/brains.c	135	00406310	004407F7	Mfull_ahead	Mfull_ahead	WC1-order-exact		mapped
src/brains.c	147	00406350	00440814	Mchill	Mchill	WC1-order-exact		mapped
src/brains.c	158	004063B0	00440831	Mdrop_a_mine	Mdrop_a_mine	WC1-order-exact		mapped
src/brains.c	172	00406400	0044084E	Mthink	Mthink	WC1-order-exact		mapped
src/brains.c	182	00406440	0044086B	Mtight_loop	Mtight_loop	WC1-fuzzy-very-low		mapped
src/brains.c	210	004064F0	00440967	Mhard_break	Mhard_break	WC1-fuzzy-followup		mapped
src/brains.c	238	004065A0	00440A93	Msit_n_spin	Msit_n_spin	WC1-fuzzy-followup		mapped
src/brains.c	307	004067A0	00440D0B	Mturn_n_spin	Mturn_n_spin	WC1-fuzzy-followup		mapped
src/brains.c	341	00406860	00440E46	Mburnout	ShipAiState12	WC1-callgraph-propagated		mapped
src/brains.c	364	004068D0	00440F01	Mkickit	Mkickit	WC1-manual-verified		mapped
src/brains.c	380	00406910	00440F76	Mturn_n_kick	Mturn_n_kick	WC1-order-exact		mapped
src/brains.c	403	00406990	004410C0	Mroll_over	Mroll_over	WC1-manual-verified		mapped
src/brains.c	417	004069F0	00441146	Mhard_turn	Mhard_turn	WC1-callgraph-propagated		mapped
src/brains.c	434	00406A50	004411E1	Mfish_hook	Mfish_hook	WC1-fuzzy-followup		mapped
src/brains.c	476	00406B60	00441379	Mtry2tail	Mtry2tail	WC1-order-exact		mapped
