source_file	source_name	mapping_name	wc1_address	wc2_address	evidence	review_flags	binary_similarity	similarity_band
src/eventmgr.c	IsFrameTickElapsed	IsFrameTickElapsed	00436240	0044A03C	WC1-callgraph-propagated		2.61	lt50
src/logic.c	ReleaseMusicTrackHook	ReleaseMusicTrackHook	00424CF0	0040E31F	WC1-callgraph-propagated		4.46	lt50
src/logic.c	drop_mine	drop_mine	004212A0	00448D58	WC1-callgraph-single-low		6.07	lt50
src/mathfp.c	SetTextCursor	GameNoBodyStubv11	00434F70	00488B20	WC1-fuzzy-high	WC1-review-module-mismatch	6.25	lt50
src/logic.c	FreeConstellationObject	FreeConstellationObject	004243B0	0044C796	WC1-callgraph-propagated		6.95	lt50
src/music.c	ResetSoundStateForScene	DoSceneFnEEA0	0042EEA0	004732E0	WC1-fuzzy-low	WC1-review-module-mismatch	8.33	lt50
src/screens.c	DrawMedals	DrawMedals	004375C0	00452AC8	WC1-callgraph-single-low		9.33	lt50
src/logic.c	UpdateSceneAnimationObject	UpdateSceneAnimationObject	00424EF0	00446A1D	WC1-callgraph-single-low		11.41	lt50
src/brains.c	scramble	SoundUiFn8200	00408200	00429423	WC1-callgraph-propagated		11.92	lt50
src/barracks.c	CreateEmptySaveGameFile	LoadLocalFnADA0	0041ADA0	0040230E	WC1-callgraph-propagated		12.33	lt50
src/main.c	RefreshMemoryStatusOverlay	RefreshMemoryStatusOverlay	00427C30	0040963B	WC1-callgraph-propagated		12.59	lt50
src/geom.c	random_radial	random_radial	00418800	00413A3B	WC1-callgraph-propagated		13.02	lt50
src/nav.c	Title_Sequence	Title_Sequence	0040FB70	0042F1FD	WC1-callgraph-propagated		13.77	lt50
src/logic.c	skill_check	skill_check	004236B0	0045655D	WC1-callgraph-single-low		14.89	lt50
src/barracks.c	LoadGame	LoadLocalFnB710	0041B710	00446F14	WC1-callgraph-propagated		14.96	lt50
src/screens.c	ShowGameOverScreen	ShowGameOverScreen	00439A80	0045F7EC	WC1-callgraph-propagated		15.34	lt50
src/barracks.c	SaveGame	LoadLocalFnB1E0	0041B1E0	00402385	WC1-callgraph-propagated		15.35	lt50
src/eventmgr.c	WaitForFrameTick	WaitForFrameTick	00436230	00484453	WC1-fuzzy-high	WC1-review-module-mismatch	15.38	lt50
src/winmain.c	GetF1KeyLatch	ReadDAT004650ac	00402520	00473CBA	WC1-fuzzy-high	WC1-review-module-mismatch	16.67	lt50
src/geom.c	vector_component_in_dir	DoLocalFn8BB0	00418BB0	00401FDD	WC1-callgraph-propagated		18.69	lt50
src/killbrd.c	CorrectPointers	CorrectPointers	0043F640	0047EA00	WC1-fuzzy-medium	WC1-review-module-mismatch	18.75	lt50
src/geom.c	IsPointWithinEyeViewCone	IsPointWithinEyeViewCone	0041A130	0043CF5A	WC1-callgraph-propagated		18.99	lt50
src/brains.c	DrawScrambleFrame	BlitTbl005a86d0Fn7E10	00407E10	0042C7BC	WC1-callgraph-single-low		19.24	lt50
src/disk.c	PromptInsertNumberedDisk	PromptInsertNumberedDisk	0041D760	00437A44	WC1-callgraph-propagated		19.35	lt50
src/screens.c	AwardCampaignMedal	AwardCampaignMedal	00436F50	0044BEE5	WC1-callgraph-propagated		20.61	lt50
src/logic.c	clear_crash_cache	clear_crash_cache	00422440	00446D55	WC1-callgraph-single-low		21.43	lt50
src/mathfp.c	MeasureShapeFrameStorage	MeasureShapeFrameStorage	00435340	00417124	WC1-fuzzy-medium		21.51	lt50
src/screen.c	ShowTigerClawEscapeScene	ShowTigerClawEscapeScene	00430150	00446823	WC1-callgraph-propagated		21.76	lt50
src/mono.c	GetLineLength	GetLineLength	00403890	0042C0A2	WC1-callgraph-single		22.11	lt50
src/brains.c	landing	landing	00408650	0042EF12	WC1-callgraph-propagated		22.99	lt50
src/screen.c	ShowCampaignVictorySequence	ShowCampaignVictorySequence	0042FC00	00433C84	WC1-callgraph-propagated		23.06	lt50
src/hudmsg.c	UpdateArcadeScoreDisplay	UpdateArcadeScoreDisplay	00429EE0	00435064	WC1-callgraph-propagated		23.41	lt50
src/brains.c	funeral_sequence	funeral_sequence	00408DE0	00459D74	WC1-callgraph-propagated		23.44	lt50
src/logic.c	nearest_enemy_range	nearest_enemy_range	004230F0	004608E8	WC1-callgraph-propagated		23.87	lt50
src/barracks.c	ConfirmAwakenAfterBadData	ConfirmAwakenAfterBadData	0041BF60	00436722	WC1-callgraph-propagated		24.18	lt50
src/disk.c	borrow_dust	borrow_dust	0041DF40	0041040D	WC1-callgraph-single		24.49	lt50
src/cmpgn.c	AddPCName	AddPCName	00404E10	00452930	WC1-callgraph-propagated		24.59	lt50
src/barracks.c	ConfirmReplaceFaultyData	ConfirmReplaceFaultyData	0041BFE0	0043641C	WC1-callgraph-propagated		24.86	lt50
src/pilot.cpp	PromptForAnswerText	PromptForAnswerText	004259B0	0040DA0C	WC1-callgraph-single-low		25.26	lt50
src/mathfp.c	SetTextContext	UiRoutine08	00434FA0	0040F882	WC1-callgraph-propagated		25.53	lt50
src/hudmsg.c	UpdateTrainSimMenuCursor	UpdateTrainSimMenuCursor	0042A610	00419A40	WC1-callgraph-single-low		25.87	lt50
src/disk.c	OpenDiskDataFile	OpenDiskDataFile	0041D6C0	004342E8	WC1-callgraph-propagated		25.88	lt50
src/killbrd.c	ShowChalkBoard	ShowChalkBoard	00440510	00459C4D	WC1-callgraph-propagated		26.14	lt50
src/screens.c	DrawFuneralLongShot	DrawFuneralLongShot	00439220	0042E868	WC1-callgraph-single-low		27.52	lt50
src/brains.c	is_alive	is_alive	0040B6A0	0044B239	WC1-order-exact		27.66	lt50
src/brains.c	init_intelligence_data	DispatchTbl0059d4b0FnC950	0040C950	0044E44F	WC1-callgraph-propagated		27.68	lt50
src/disk.c	steady_object	steady_object	0041E7C0	004728E0	WC1-fuzzy-high	WC1-review-module-mismatch	27.78	lt50
src/cmpgn.c	stranded_sequence	stranded_sequence	00404BE0	004251F2	WC1-callgraph-propagated		28.12	lt50
src/sound.c	LoadInstallDat	LoadInstallDat	0042C660	0042949F	WC1-callgraph-propagated		28.22	lt50
src/ship.c	check_for_lost_control	check_for_lost_control	0041E650	0042B15A	WC1-fuzzy-very-low		28.57	lt50
src/eventmgr.c	PeekInputEvent	PeekInputEvent	00435CE0	0043AFD3	WC1-fuzzy-medium		28.75	lt50
src/music.c	parse_view_script	ScanTbl0059c010FnCDB0	0042CDB0	00457434	WC1-callgraph-propagated		28.76	lt50
src/cmpgn.c	LoadBriefingData	LoadBriefingData	00405910	0040C1DA	WC1-fuzzy-low		28.79	lt50
src/eventmgr.c	shrink	shrink	00436A70	0047AF60	WC1-fuzzy-medium	WC1-review-module-mismatch	29.09	lt50
src/pilot.cpp	SystemDebugPrintf	SystemDebugPrintf	00425BB0	0040FDAD	WC1-callgraph-transfer		29.73	lt50
src/hudmsg.c	WaitForKeyAcknowledge	WaitForKeyAcknowledge	00428EA0	00418ECD	WC1-callgraph-propagated		29.79	lt50
src/cockpt.c	build_your_target_list	build_your_target_list	00416E90	0043DA68	WC1-callgraph-propagated		29.88	lt50
src/main.c	HandleFleetOverviewInput	HandleFleetOverviewInput	00428D10	0045F200	WC1-callgraph-propagated		29.92	lt50
